merchant_id,as_of_date,first_transaction_date,days_since_first_transaction,baseline_start,baseline_end,observation_start,observation_end,baseline_value_cop,current_value_cop,baseline_approved_transactions,current_approved_transactions,baseline_active_days,current_active_days,is_sales_change_eligible,sales_change_ineligibility_reason,change_pct,is_sales_volume_decline_28d,is_sales_volume_growth_28d
M014,2026-09-01,2026-04-12,142,2026-07-07,2026-08-03,2026-08-04,2026-08-31,34123534,58637000,229,393,21,14,True,,71.837419,False,True
M015,2026-09-01,2025-09-12,354,2026-07-07,2026-08-03,2026-08-04,2026-08-31,7868753,7977000,89,89,18,24,True,,1.375656,False,False
M016,2026-09-01,2025-12-07,268,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6349685,4638000,69,53,20,20,True,,-26.957007,True,False
M017,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M018,2026-09-01,2026-07-06,57,2026-07-07,2026-08-03,2026-08-04,2026-08-31,7399418,8033000,85,90,19,15,True,,8.562592,False,False
M019,2026-09-01,2026-06-19,74,2026-07-07,2026-08-03,2026-08-04,2026-08-31,7220237,7010000,80,77,19,16,True,,-2.911774,False,False
M020,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M021,2026-09-01,2026-07-02,61,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6546357,3138000,72,38,14,21,True,,-52.064942,True,False
M022,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M023,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M024,2026-09-01,2026-08-01,31,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,6949643,,59,,17,False,INSUFFICIENT_HISTORY,,False,False
M025,2026-09-01,2026-01-03,241,2026-07-07,2026-08-03,2026-08-04,2026-08-31,9545169,6466000,105,74,24,17,True,,-32.258926,True,False
M026,2026-09-01,2025-03-30,520,2026-07-07,2026-08-03,2026-08-04,2026-08-31,32635078,43082000,216,285,22,18,True,,32.011328,False,True
M027,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M028,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M029,2026-09-01,2025-12-29,246,2026-07-07,2026-08-03,2026-08-04,2026-08-31,9683444,8808000,108,102,18,18,True,,-9.040626,False,False
M030,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M031,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M032,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M033,2026-09-01,2026-08-06,26,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,8099757,,81,,19,False,INSUFFICIENT_HISTORY,,False,False
M034,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M035,2026-09-01,2025-04-08,511,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6790193,6424000,75,74,14,24,True,,-5.392969,False,False
M036,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,0,0,0,0,0,0,False,INSUFFICIENT_HISTORY,,False,False
M037,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M038,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M039,2026-09-01,2025-06-25,433,2026-07-07,2026-08-03,2026-08-04,2026-08-31,9318743,10057000,102,112,18,20,True,,7.922281,False,False
M040,2026-09-01,2026-06-08,85,2026-07-07,2026-08-03,2026-08-04,2026-08-31,7161044,3730000,78,40,20,20,True,,-47.912623,True,False
M041,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M042,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M043,2026-09-01,2026-07-09,54,2026-07-07,2026-08-03,2026-08-04,2026-08-31,34033111,22474456,185,135,20,17,False,INSUFFICIENT_HISTORY,,False,False
M044,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M045,2026-09-01,2025-08-25,372,2026-07-07,2026-08-03,2026-08-04,2026-08-31,7164036,10303000,83,114,17,20,True,,43.815581,False,True
M046,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M047,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M048,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M049,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M050,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M051,2026-09-01,2026-05-19,105,2026-07-07,2026-08-03,2026-08-04,2026-08-31,5585485,0,63,0,15,0,True,,-100.0,True,False
M052,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,0,0,0,0,0,0,False,INSUFFICIENT_HISTORY,,False,False
M053,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M054,2026-09-01,2025-02-10,568,2026-07-07,2026-08-03,2026-08-04,2026-08-31,7396419,6949000,83,78,24,16,True,,-6.04913,False,False
M055,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M056,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M057,2026-09-01,2026-01-18,226,2026-07-07,2026-08-03,2026-08-04,2026-08-31,5000000,7529000,57,85,17,16,True,,50.58,False,True
M058,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M059,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M060,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M061,2026-09-01,2025-07-13,415,2026-07-07,2026-08-03,2026-08-04,2026-08-31,9405978,10300000,103,116,14,16,True,,9.504828,False,False
M062,2026-09-01,2026-08-20,12,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M063,2026-09-01,2026-03-10,175,2026-07-07,2026-08-03,2026-08-04,2026-08-31,26744961,38806000,180,259,21,24,True,,45.096491,False,True
M064,2026-09-01,2025-08-19,378,2026-07-07,2026-08-03,2026-08-04,2026-08-31,8532364,9239000,94,106,20,19,True,,8.281831,False,False
M065,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M066,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M067,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M068,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M069,2026-09-01,2025-07-21,407,2026-07-07,2026-08-03,2026-08-04,2026-08-31,21771331,28163000,147,187,20,14,True,,29.358191,False,True
M070,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M071,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M072,2026-09-01,2025-10-06,330,2026-07-07,2026-08-03,2026-08-04,2026-08-31,5864929,5566000,69,63,23,15,True,,-5.09689,False,False
M073,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M074,2026-09-01,2025-10-03,333,2026-07-07,2026-08-03,2026-08-04,2026-08-31,8096743,7547000,90,83,14,16,True,,-6.789681,False,False
M075,2026-09-01,2026-02-13,200,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6336349,9407000,71,105,17,15,True,,48.460888,False,True
M076,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M077,2026-09-01,2026-04-20,134,2026-07-07,2026-08-03,2026-08-04,2026-08-31,23373022,39848000,157,267,24,17,True,,70.487154,False,True
M078,2026-09-01,2025-04-17,502,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6827781,3817000,79,44,24,15,True,,-44.096039,True,False
M079,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M080,2026-09-01,2025-11-09,296,2026-07-07,2026-08-03,2026-08-04,2026-08-31,5203594,5486000,60,59,21,22,True,,5.427134,False,False
M081,2026-09-01,2026-02-08,205,2026-07-07,2026-08-03,2026-08-04,2026-08-31,10474707,9925000,118,111,21,16,True,,-5.247946,False,False
M082,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M083,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M084,2026-09-01,2026-05-21,103,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6978172,7571000,80,85,21,14,True,,8.495463,False,False
M085,2026-09-01,2026-03-18,167,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6522630,6087000,70,70,15,17,True,,-6.678748,False,False
M086,2026-09-01,2026-08-20,12,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M087,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M088,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M089,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M090,2026-09-01,2025-05-17,472,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6864573,0,77,0,19,0,True,,-100.0,True,False
M091,2026-09-01,2025-10-08,328,2026-07-07,2026-08-03,2026-08-04,2026-08-31,7730123,0,89,0,19,0,True,,-100.0,True,False
M092,2026-09-01,2025-03-09,541,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6266507,6238000,69,72,24,21,True,,-0.454911,False,False
M093,2026-09-01,2025-05-17,472,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6913237,4865000,77,57,18,21,True,,-29.627756,True,False
M094,2026-09-01,2026-01-08,236,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6199642,5875000,71,66,16,19,True,,-5.236464,False,False
M095,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M096,2026-09-01,2025-05-13,476,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6288178,10779000,72,119,23,18,True,,71.416903,False,True
M097,2026-09-01,2025-09-30,336,2026-07-07,2026-08-03,2026-08-04,2026-08-31,5998253,8026000,67,92,18,20,True,,33.805626,False,True
M098,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M099,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M100,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M101,2026-09-01,2025-03-27,523,2026-07-07,2026-08-03,2026-08-04,2026-08-31,33711418,47543000,224,318,24,14,True,,41.029369,False,True
M102,2026-09-01,2026-03-17,168,2026-07-07,2026-08-03,2026-08-04,2026-08-31,8423931,12978000,94,142,15,23,True,,54.061091,False,True
M103,2026-09-01,2025-11-07,298,2026-07-07,2026-08-03,2026-08-04,2026-08-31,28380610,27681000,190,184,16,23,True,,-2.465099,False,False
M104,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M105,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M106,2026-09-01,2026-06-03,90,2026-07-07,2026-08-03,2026-08-04,2026-08-31,7063590,3319000,82,37,15,21,True,,-53.012562,True,False
M107,2026-09-01,2025-08-30,367,2026-07-07,2026-08-03,2026-08-04,2026-08-31,27817112,28980000,185,192,17,21,True,,4.180477,False,False
M108,2026-09-01,2026-01-07,237,2026-07-07,2026-08-03,2026-08-04,2026-08-31,26442812,43651000,176,292,23,14,True,,65.076997,False,True
M109,2026-09-01,2025-01-23,586,2026-07-07,2026-08-03,2026-08-04,2026-08-31,7569997,7464000,86,82,24,24,True,,-1.400225,False,False
M110,2026-09-01,2025-11-10,295,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6569890,6425000,76,72,23,14,True,,-2.205364,False,False
M111,2026-09-01,2025-05-01,488,2026-07-07,2026-08-03,2026-08-04,2026-08-31,7598074,3596000,85,43,21,15,True,,-52.672217,True,False
M112,2026-09-01,2025-12-14,261,2026-07-07,2026-08-03,2026-08-04,2026-08-31,8724304,7889000,99,89,20,20,True,,-9.574449,False,False
M113,2026-09-01,2025-12-21,254,2026-07-07,2026-08-03,2026-08-04,2026-08-31,7174803,7262000,81,81,21,17,True,,1.215323,False,False
M114,2026-09-01,2025-03-20,530,2026-07-07,2026-08-03,2026-08-04,2026-08-31,8224877,13744000,91,153,14,19,True,,67.102803,False,True
M115,2026-09-01,2026-07-06,57,2026-07-07,2026-08-03,2026-08-04,2026-08-31,23851213,22778000,159,152,15,18,True,,-4.499616,False,False
M116,2026-09-01,2026-05-18,106,2026-07-07,2026-08-03,2026-08-04,2026-08-31,7739328,13063000,89,146,21,20,True,,68.787264,False,True
M117,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M118,2026-09-01,2025-05-24,465,2026-07-07,2026-08-03,2026-08-04,2026-08-31,5806505,5488000,67,63,18,19,True,,-5.485313,False,False
M119,2026-09-01,2025-12-09,266,2026-07-07,2026-08-03,2026-08-04,2026-08-31,8856102,8715000,100,97,23,23,True,,-1.593274,False,False
M120,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M121,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M122,2026-09-01,2025-11-18,287,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6307781,6565000,70,72,20,14,True,,4.077805,False,False
M123,2026-09-01,2026-06-17,76,2026-07-07,2026-08-03,2026-08-04,2026-08-31,5617932,6075000,63,68,15,15,True,,8.135876,False,False
M124,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M125,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M126,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M127,2026-09-01,2025-07-31,397,2026-07-07,2026-08-03,2026-08-04,2026-08-31,7094643,3903000,77,43,21,21,True,,-44.986661,True,False
M128,2026-09-01,2025-12-11,264,2026-07-07,2026-08-03,2026-08-04,2026-08-31,9096967,8600000,102,98,18,19,True,,-5.462997,False,False
M129,2026-09-01,2026-04-24,130,2026-07-07,2026-08-03,2026-08-04,2026-08-31,5264863,8926000,61,102,17,21,True,,69.539074,False,True
M130,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M131,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M132,2026-09-01,2026-04-21,133,2026-07-07,2026-08-03,2026-08-04,2026-08-31,25887393,27546000,175,183,17,21,True,,6.407007,False,False
M133,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M134,2026-09-01,2026-04-16,138,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6643835,7039000,74,79,20,15,True,,5.947845,False,False
M135,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M136,2026-09-01,2026-02-02,211,2026-07-07,2026-08-03,2026-08-04,2026-08-31,7267074,6825000,81,76,22,15,True,,-6.083246,False,False
M137,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M138,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M139,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M140,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M141,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M142,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M143,2026-09-01,2026-06-17,76,2026-07-07,2026-08-03,2026-08-04,2026-08-31,9030732,0,101,0,14,0,True,,-100.0,True,False
M144,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M145,2026-09-01,2026-05-07,117,2026-07-07,2026-08-03,2026-08-04,2026-08-31,25029064,12092000,170,81,22,14,True,,-51.688165,True,False
M146,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M147,2026-09-01,2025-03-02,548,2026-07-07,2026-08-03,2026-08-04,2026-08-31,7455067,10254000,83,117,21,21,True,,37.544035,False,True
M148,2026-09-01,2026-05-24,100,2026-07-07,2026-08-03,2026-08-04,2026-08-31,31559879,30470000,212,203,18,22,True,,-3.453369,False,False
M149,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M150,2026-09-01,2025-04-22,497,2026-07-07,2026-08-03,2026-08-04,2026-08-31,7126430,6825000,79,78,15,24,True,,-4.229748,False,False
M151,2026-09-01,2026-05-04,120,2026-07-07,2026-08-03,2026-08-04,2026-08-31,5000000,3027000,55,36,14,22,True,,-39.46,True,False
M152,2026-09-01,2025-08-31,366,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6707428,6292000,75,71,24,17,True,,-6.193551,False,False
M153,2026-09-01,2026-08-17,15,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M154,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M155,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M156,2026-09-01,2026-07-09,54,2026-07-07,2026-08-03,2026-08-04,2026-08-31,7139267,7710038,64,69,16,18,False,INSUFFICIENT_HISTORY,,False,False
M157,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M158,2026-09-01,2026-07-09,54,2026-07-07,2026-08-03,2026-08-04,2026-08-31,29764570,24655234,169,138,21,19,False,INSUFFICIENT_HISTORY,,False,False
M159,2026-09-01,2026-06-04,89,2026-07-07,2026-08-03,2026-08-04,2026-08-31,29710063,51599000,197,346,18,24,True,,73.675162,False,True
M160,2026-09-01,2025-05-14,475,2026-07-07,2026-08-03,2026-08-04,2026-08-31,28120282,30730000,190,203,23,14,True,,9.280554,False,False
M161,2026-09-01,2025-02-25,553,2026-07-07,2026-08-03,2026-08-04,2026-08-31,5000000,5110000,55,60,17,20,True,,2.2,False,False
M162,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M163,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,0,0,0,0,0,0,False,INSUFFICIENT_HISTORY,,False,False
M164,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M165,2026-09-01,2025-10-24,312,2026-07-07,2026-08-03,2026-08-04,2026-08-31,7855223,10326000,85,116,15,14,True,,31.453938,False,True
M166,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M167,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M168,2026-09-01,2026-06-30,63,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6559430,6582000,74,73,18,23,True,,0.344085,False,False
M169,2026-09-01,2025-03-26,524,2026-07-07,2026-08-03,2026-08-04,2026-08-31,8087715,8191000,90,93,18,18,True,,1.27706,False,False
M170,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M171,2026-09-01,2026-08-31,1,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M172,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M173,2026-09-01,2026-05-12,112,2026-07-07,2026-08-03,2026-08-04,2026-08-31,8304066,13646000,92,153,14,23,True,,64.329137,False,True
M174,2026-09-01,2025-09-14,352,2026-07-07,2026-08-03,2026-08-04,2026-08-31,25811973,26335000,172,174,16,22,True,,2.026296,False,False
M175,2026-09-01,2026-02-02,211,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6392396,6296000,73,74,17,23,True,,-1.507979,False,False
M176,2026-09-01,2025-03-21,529,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6625607,9120000,78,104,20,19,True,,37.647766,False,True
M177,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,0,0,0,0,0,0,False,INSUFFICIENT_HISTORY,,False,False
M178,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M179,2026-09-01,2026-03-28,157,2026-07-07,2026-08-03,2026-08-04,2026-08-31,6325607,6230000,73,70,17,20,True,,-1.511428,False,False
M180,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
