insight_id,merchant_id,as_of_date,insight_type,observation_start,observation_end,baseline_start,baseline_end,current_value_cop,baseline_value_cop,change_pct,priority,evidence_text,recommendation_text
INS-20260901-M051-SVD28D,M051,2026-09-01,SALES_VOLUME_DECLINE_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,0,5585485,-100.0,HIGH,El volumen aprobado cayó 100 %: de 5.585.485 COP (2026-07-07 a 2026-08-03) a 0 COP (2026-08-04 a 2026-08-31).,"Contactar al comercio para entender si existe un problema operativo, estacional o de continuidad del servicio."
INS-20260901-M057-SVG28D,M057,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,7529000,5000000,50.58,HIGH,"El volumen aprobado creció 50,58 %: de 5.000.000 COP (2026-07-07 a 2026-08-03) a 7.529.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M063-SVG28D,M063,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,38806000,26744961,45.096491,MEDIUM,"El volumen aprobado creció 45,096491 %: de 26.744.961 COP (2026-07-07 a 2026-08-03) a 38.806.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M069-SVG28D,M069,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,28163000,21771331,29.358191,LOW,"El volumen aprobado creció 29,358191 %: de 21.771.331 COP (2026-07-07 a 2026-08-03) a 28.163.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M075-SVG28D,M075,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,9407000,6336349,48.460888,MEDIUM,"El volumen aprobado creció 48,460888 %: de 6.336.349 COP (2026-07-07 a 2026-08-03) a 9.407.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M077-SVG28D,M077,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,39848000,23373022,70.487154,HIGH,"El volumen aprobado creció 70,487154 %: de 23.373.022 COP (2026-07-07 a 2026-08-03) a 39.848.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M078-SVD28D,M078,2026-09-01,SALES_VOLUME_DECLINE_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,3817000,6827781,-44.096039,MEDIUM,"El volumen aprobado cayó 44,096039 %: de 6.827.781 COP (2026-07-07 a 2026-08-03) a 3.817.000 COP (2026-08-04 a 2026-08-31).","Contactar al comercio para entender si existe un problema operativo, estacional o de continuidad del servicio."
INS-20260901-M090-SVD28D,M090,2026-09-01,SALES_VOLUME_DECLINE_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,0,6864573,-100.0,HIGH,El volumen aprobado cayó 100 %: de 6.864.573 COP (2026-07-07 a 2026-08-03) a 0 COP (2026-08-04 a 2026-08-31).,"Contactar al comercio para entender si existe un problema operativo, estacional o de continuidad del servicio."
INS-20260901-M091-SVD28D,M091,2026-09-01,SALES_VOLUME_DECLINE_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,0,7730123,-100.0,HIGH,El volumen aprobado cayó 100 %: de 7.730.123 COP (2026-07-07 a 2026-08-03) a 0 COP (2026-08-04 a 2026-08-31).,"Contactar al comercio para entender si existe un problema operativo, estacional o de continuidad del servicio."
INS-20260901-M093-SVD28D,M093,2026-09-01,SALES_VOLUME_DECLINE_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,4865000,6913237,-29.627756,LOW,"El volumen aprobado cayó 29,627756 %: de 6.913.237 COP (2026-07-07 a 2026-08-03) a 4.865.000 COP (2026-08-04 a 2026-08-31).","Contactar al comercio para entender si existe un problema operativo, estacional o de continuidad del servicio."
INS-20260901-M096-SVG28D,M096,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,10779000,6288178,71.416903,HIGH,"El volumen aprobado creció 71,416903 %: de 6.288.178 COP (2026-07-07 a 2026-08-03) a 10.779.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M097-SVG28D,M097,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,8026000,5998253,33.805626,LOW,"El volumen aprobado creció 33,805626 %: de 5.998.253 COP (2026-07-07 a 2026-08-03) a 8.026.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M101-SVG28D,M101,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,47543000,33711418,41.029369,MEDIUM,"El volumen aprobado creció 41,029369 %: de 33.711.418 COP (2026-07-07 a 2026-08-03) a 47.543.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M102-SVG28D,M102,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,12978000,8423931,54.061091,HIGH,"El volumen aprobado creció 54,061091 %: de 8.423.931 COP (2026-07-07 a 2026-08-03) a 12.978.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M106-SVD28D,M106,2026-09-01,SALES_VOLUME_DECLINE_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,3319000,7063590,-53.012562,HIGH,"El volumen aprobado cayó 53,012562 %: de 7.063.590 COP (2026-07-07 a 2026-08-03) a 3.319.000 COP (2026-08-04 a 2026-08-31).","Contactar al comercio para entender si existe un problema operativo, estacional o de continuidad del servicio."
INS-20260901-M108-SVG28D,M108,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,43651000,26442812,65.076997,HIGH,"El volumen aprobado creció 65,076997 %: de 26.442.812 COP (2026-07-07 a 2026-08-03) a 43.651.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M111-SVD28D,M111,2026-09-01,SALES_VOLUME_DECLINE_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,3596000,7598074,-52.672217,HIGH,"El volumen aprobado cayó 52,672217 %: de 7.598.074 COP (2026-07-07 a 2026-08-03) a 3.596.000 COP (2026-08-04 a 2026-08-31).","Contactar al comercio para entender si existe un problema operativo, estacional o de continuidad del servicio."
INS-20260901-M114-SVG28D,M114,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,13744000,8224877,67.102803,HIGH,"El volumen aprobado creció 67,102803 %: de 8.224.877 COP (2026-07-07 a 2026-08-03) a 13.744.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M116-SVG28D,M116,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,13063000,7739328,68.787264,HIGH,"El volumen aprobado creció 68,787264 %: de 7.739.328 COP (2026-07-07 a 2026-08-03) a 13.063.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M127-SVD28D,M127,2026-09-01,SALES_VOLUME_DECLINE_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,3903000,7094643,-44.986661,MEDIUM,"El volumen aprobado cayó 44,986661 %: de 7.094.643 COP (2026-07-07 a 2026-08-03) a 3.903.000 COP (2026-08-04 a 2026-08-31).","Contactar al comercio para entender si existe un problema operativo, estacional o de continuidad del servicio."
INS-20260901-M129-SVG28D,M129,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,8926000,5264863,69.539074,HIGH,"El volumen aprobado creció 69,539074 %: de 5.264.863 COP (2026-07-07 a 2026-08-03) a 8.926.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M143-SVD28D,M143,2026-09-01,SALES_VOLUME_DECLINE_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,0,9030732,-100.0,HIGH,El volumen aprobado cayó 100 %: de 9.030.732 COP (2026-07-07 a 2026-08-03) a 0 COP (2026-08-04 a 2026-08-31).,"Contactar al comercio para entender si existe un problema operativo, estacional o de continuidad del servicio."
INS-20260901-M145-SVD28D,M145,2026-09-01,SALES_VOLUME_DECLINE_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,12092000,25029064,-51.688165,HIGH,"El volumen aprobado cayó 51,688165 %: de 25.029.064 COP (2026-07-07 a 2026-08-03) a 12.092.000 COP (2026-08-04 a 2026-08-31).","Contactar al comercio para entender si existe un problema operativo, estacional o de continuidad del servicio."
INS-20260901-M147-SVG28D,M147,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,10254000,7455067,37.544035,MEDIUM,"El volumen aprobado creció 37,544035 %: de 7.455.067 COP (2026-07-07 a 2026-08-03) a 10.254.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M151-SVD28D,M151,2026-09-01,SALES_VOLUME_DECLINE_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,3027000,5000000,-39.46,MEDIUM,"El volumen aprobado cayó 39,46 %: de 5.000.000 COP (2026-07-07 a 2026-08-03) a 3.027.000 COP (2026-08-04 a 2026-08-31).","Contactar al comercio para entender si existe un problema operativo, estacional o de continuidad del servicio."
INS-20260901-M159-SVG28D,M159,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,51599000,29710063,73.675162,HIGH,"El volumen aprobado creció 73,675162 %: de 29.710.063 COP (2026-07-07 a 2026-08-03) a 51.599.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M165-SVG28D,M165,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,10326000,7855223,31.453938,LOW,"El volumen aprobado creció 31,453938 %: de 7.855.223 COP (2026-07-07 a 2026-08-03) a 10.326.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M173-SVG28D,M173,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,13646000,8304066,64.329137,HIGH,"El volumen aprobado creció 64,329137 %: de 8.304.066 COP (2026-07-07 a 2026-08-03) a 13.646.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M176-SVG28D,M176,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,9120000,6625607,37.647766,MEDIUM,"El volumen aprobado creció 37,647766 %: de 6.625.607 COP (2026-07-07 a 2026-08-03) a 9.120.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
