merchant_id,merchant_name,city,business_segment,acquisition_channel
M096,Distribuidora Prisma,Medellín,SMALL,ALIADOS
M097,Óptica Sol,Bogotá,SMALL,DIGITAL
M098,Panadería Sol,Bucaramanga,SMALL,ALIADOS
M099,Café Cedro,Bogotá,SMALL,DIGITAL
M100,Ferretería Boreal,Cali,SMALL,VENTA_DIRECTA
M101,Mercado Nébula,Cali,MEDIUM,DIGITAL
M102,Ferretería Sol,Medellín,SMALL,DIGITAL
M103,Panadería Nébula,Cartagena,MEDIUM,DIGITAL
M104,Panadería Boreal,Medellín,SMALL,DIGITAL
M105,Farmacia Coral,Cali,SMALL,ALIADOS
M106,Panadería Andino,Bogotá,SMALL,ALIADOS
M107,Ferretería Manzano,Bogotá,MEDIUM,DIGITAL
M108,Panadería Esmeralda,Medellín,MEDIUM,DIGITAL
M109,Floristería Boreal,Bogotá,SMALL,VENTA_DIRECTA
M110,Librería Guayacán,Medellín,SMALL,ALIADOS
M111,Floristería Prisma,Bogotá,SMALL,ALIADOS
M112,Boutique Andino,Medellín,SMALL,DIGITAL
M113,Papelería Roble,Bucaramanga,SMALL,DIGITAL
M114,Miscelánea Prisma,Barranquilla,SMALL,DIGITAL
M115,Floristería Roble,Bogotá,MEDIUM,REFERIDOS
M116,Heladería Boreal,Cali,SMALL,REFERIDOS
M117,Distribuidora Boreal,Cali,SMALL,ALIADOS
M118,Miscelánea Granada,Bucaramanga,SMALL,REFERIDOS
M119,Ferretería Granada,Cali,SMALL,ALIADOS
M120,Miscelánea Roble,Bogotá,SMALL,REFERIDOS
M121,Floristería Cedro,Pereira,SMALL,ALIADOS
M122,Farmacia Litoral,Barranquilla,SMALL,VENTA_DIRECTA
M123,Mercado Nogal,Bogotá,SMALL,VENTA_DIRECTA
M124,Restaurante Colibrí,Bogotá,SMALL,DIGITAL
M125,Panadería Roble,Bogotá,SMALL,ALIADOS
M126,Mercado Sabana,Bogotá,MEDIUM,DIGITAL
M127,Taller Alameda,Medellín,SMALL,VENTA_DIRECTA
M128,Floristería Aurora,Barranquilla,SMALL,VENTA_DIRECTA
M129,Miscelánea Coral,Cartagena,SMALL,VENTA_DIRECTA
M130,Distribuidora Aurora,Medellín,MEDIUM,ALIADOS
M131,Farmacia Alameda,Bogotá,SMALL,VENTA_DIRECTA
M132,Ferretería Cedro,Bucaramanga,MEDIUM,DIGITAL
M133,Miscelánea Sabana,Bogotá,SMALL,DIGITAL
M134,Óptica Colibrí,Medellín,SMALL,REFERIDOS
M135,Taller Roble,Bogotá,MEDIUM,REFERIDOS
M136,Librería Alameda,Barranquilla,SMALL,DIGITAL
M137,Heladería Marea,Bucaramanga,MEDIUM,VENTA_DIRECTA
M138,Floristería Litoral,Barranquilla,SMALL,DIGITAL
M139,Restaurante Alameda,Cartagena,SMALL,DIGITAL
M140,Restaurante Andino,Cali,SMALL,DIGITAL
M141,Farmacia Colibrí,Cali,SMALL,VENTA_DIRECTA
M142,Café Andino,Bogotá,SMALL,ALIADOS
M143,Floristería Esmeralda,Medellín,SMALL,DIGITAL
M144,Miscelánea Litoral,Cali,SMALL,DIGITAL
M145,Taller Nébula,Bogotá,MEDIUM,ALIADOS
M146,Librería Sol,Bogotá,SMALL,VENTA_DIRECTA
M147,Heladería Alameda,Bucaramanga,SMALL,REFERIDOS
M148,Librería Manzano,Bogotá,MEDIUM,REFERIDOS
M149,Panadería Cedro,Pereira,SMALL,DIGITAL
M150,Farmacia Manzano,Barranquilla,SMALL,ALIADOS
M151,Boutique Aurora,Bogotá,SMALL,VENTA_DIRECTA
M152,Farmacia Nébula,Cartagena,SMALL,DIGITAL
M153,Papelería Boreal,Bogotá,SMALL,ALIADOS
M154,Taller Guayacán,Pereira,SMALL,DIGITAL
M155,Miscelánea Marea,Medellín,SMALL,ALIADOS
M156,Boutique Litoral,Medellín,SMALL,DIGITAL
M157,Panadería Colibrí,Cali,MEDIUM,VENTA_DIRECTA
M158,Café Granada,Cali,MEDIUM,ALIADOS
M159,Farmacia Granada,Medellín,MEDIUM,ALIADOS
M160,Mercado Horizonte,Bogotá,MEDIUM,DIGITAL
M161,Heladería Roble,Barranquilla,SMALL,DIGITAL
M162,Farmacia Marea,Medellín,SMALL,REFERIDOS
M163,Ferretería Coral,Medellín,SMALL,DIGITAL
M164,Óptica Coral,Cali,SMALL,VENTA_DIRECTA
M165,Papelería Aurora,Cali,SMALL,DIGITAL
M166,Mercado Granada,Bucaramanga,MEDIUM,VENTA_DIRECTA
M167,Ferretería Alameda,Medellín,MEDIUM,ALIADOS
M168,Papelería Granada,Cali,SMALL,DIGITAL
M169,Restaurante Marea,Bogotá,SMALL,DIGITAL
M170,Óptica Boreal,Pereira,MEDIUM,REFERIDOS
M171,Panadería Horizonte,Barranquilla,SMALL,VENTA_DIRECTA
M172,Mercado Esmeralda,Cartagena,SMALL,VENTA_DIRECTA
M173,Librería Aurora,Barranquilla,SMALL,REFERIDOS
M174,Mercado Cedro,Cartagena,MEDIUM,DIGITAL
M175,Heladería Aurora,Pereira,SMALL,ALIADOS
M176,Floristería Manzano,Cali,SMALL,VENTA_DIRECTA
M177,Boutique Nébula,Bogotá,SMALL,ALIADOS
M178,Mercado Marea,Bogotá,SMALL,ALIADOS
M179,Distribuidora Esmeralda,Bogotá,SMALL,DIGITAL
M180,Taller Sabana,Medellín,SMALL,DIGITAL
