merchant_id,merchant_name,city,business_segment,acquisition_channel,registered_cohort_month,registered_at,validation_started_at,documents_completed_at,approved_at,activated_at,rejected_at,abandoned_at,last_onboarding_event_type,last_onboarding_event_at,highest_stage_reached,onboarding_status,exit_from_stage,onboarding_event_count,days_since_registered,days_in_current_stage,is_commercial_activation_30d_eligible,is_technically_activated,days_to_technical_activation
M012,Farmacia Esmeralda,Cali,SMALL,DIGITAL,2025-10,2025-10-21T14:45:00-05:00,2025-10-23T06:45:00-05:00,2025-10-25T15:15:00-05:00,2025-10-26T21:30:00-05:00,2025-10-29T03:15:00-05:00,,,ACTIVATED,2025-10-29T03:15:00-05:00,ACTIVATED,ACTIVATED,,5,315,307,True,True,8.0
M013,Heladería Manzano,Cali,SMALL,DIGITAL,2025-08,2025-08-26T12:45:00-05:00,,,,,,2025-08-28T03:00:00-05:00,ABANDONED,2025-08-28T03:00:00-05:00,REGISTERED,ABANDONED,REGISTERED,2,371,369,True,False,
M014,Restaurante Guayacán,Medellín,MEDIUM,ALIADOS,2026-03,2026-03-26T11:00:00-05:00,2026-03-27T05:00:00-05:00,2026-03-31T09:00:00-05:00,2026-04-05T22:15:00-05:00,2026-04-07T00:30:00-05:00,,,ACTIVATED,2026-04-07T00:30:00-05:00,ACTIVATED,ACTIVATED,,5,159,147,True,True,12.0
M015,Ferretería Esmeralda,Bogotá,SMALL,ALIADOS,2025-08,2025-08-06T14:15:00-05:00,2025-08-06T23:00:00-05:00,2025-08-10T15:30:00-05:00,2025-08-15T02:15:00-05:00,2025-08-19T21:15:00-05:00,,,ACTIVATED,2025-08-19T21:15:00-05:00,ACTIVATED,ACTIVATED,,5,391,378,True,True,13.0
M016,Mercado Colibrí,Cali,SMALL,ALIADOS,2025-11,2025-11-19T13:15:00-05:00,2025-11-19T14:30:00-05:00,2025-11-21T22:00:00-05:00,2025-11-28T15:15:00-05:00,2025-12-01T00:30:00-05:00,,,ACTIVATED,2025-12-01T00:30:00-05:00,ACTIVATED,ACTIVATED,,5,286,274,True,True,12.0
M017,Óptica Orquídea,Bogotá,SMALL,DIGITAL,2025-08,2025-08-25T09:45:00-05:00,2025-08-26T19:00:00-05:00,,,,,,VALIDATION_STARTED,2025-08-26T19:00:00-05:00,VALIDATION_STARTED,IN_PROGRESS,,2,372,371,True,False,
M018,Heladería Litoral,Cali,SMALL,VENTA_DIRECTA,2026-06,2026-06-21T09:45:00-05:00,2026-06-23T08:15:00-05:00,2026-06-25T06:00:00-05:00,2026-06-26T13:15:00-05:00,2026-07-01T08:30:00-05:00,,,ACTIVATED,2026-07-01T08:30:00-05:00,ACTIVATED,ACTIVATED,,5,72,62,True,True,10.0
M019,Floristería Nogal,Bogotá,SMALL,DIGITAL,2026-06,2026-06-01T15:00:00-05:00,2026-06-02T03:00:00-05:00,2026-06-08T15:30:00-05:00,2026-06-11T14:00:00-05:00,2026-06-14T12:45:00-05:00,,,ACTIVATED,2026-06-14T12:45:00-05:00,ACTIVATED,ACTIVATED,,5,92,79,True,True,13.0
M020,Farmacia Orquídea,Medellín,MEDIUM,VENTA_DIRECTA,2025-12,2025-12-04T08:30:00-05:00,2025-12-04T11:45:00-05:00,,,,,2025-12-11T15:45:00-05:00,ABANDONED,2025-12-11T15:45:00-05:00,VALIDATION_STARTED,ABANDONED,VALIDATION_STARTED,3,271,264,True,False,
M021,Papelería Coral,Barranquilla,SMALL,VENTA_DIRECTA,2026-06,2026-06-16T10:45:00-05:00,2026-06-17T14:30:00-05:00,2026-06-25T11:45:00-05:00,2026-06-27T23:45:00-05:00,2026-07-02T03:00:00-05:00,,,ACTIVATED,2026-07-02T03:00:00-05:00,ACTIVATED,ACTIVATED,,5,77,61,True,True,16.0
M022,Librería Horizonte,Medellín,SMALL,VENTA_DIRECTA,2026-06,2026-06-13T14:00:00-05:00,2026-06-14T09:45:00-05:00,,,,,2026-06-22T05:00:00-05:00,ABANDONED,2026-06-22T05:00:00-05:00,VALIDATION_STARTED,ABANDONED,VALIDATION_STARTED,3,80,71,True,False,
M023,Distribuidora Orquídea,Medellín,SMALL,VENTA_DIRECTA,2025-12,2025-12-05T13:15:00-05:00,,,,,,2025-12-15T05:00:00-05:00,ABANDONED,2025-12-15T05:00:00-05:00,REGISTERED,ABANDONED,REGISTERED,2,270,260,True,False,
M024,Taller Aurora,Medellín,SMALL,DIGITAL,2026-07,2026-07-19T08:45:00-05:00,2026-07-21T08:00:00-05:00,2026-07-27T03:30:00-05:00,2026-07-29T06:45:00-05:00,2026-07-30T13:45:00-05:00,,,ACTIVATED,2026-07-30T13:45:00-05:00,ACTIVATED,ACTIVATED,,5,44,33,True,True,11.0
M025,Restaurante Orquídea,Medellín,SMALL,REFERIDOS,2025-12,2025-12-14T12:15:00-05:00,2025-12-15T12:00:00-05:00,2025-12-24T13:45:00-05:00,2025-12-27T16:45:00-05:00,2025-12-31T22:30:00-05:00,,,ACTIVATED,2025-12-31T22:30:00-05:00,ACTIVATED,ACTIVATED,,5,261,244,True,True,17.0
M026,Miscelánea Guayacán,Cali,MEDIUM,DIGITAL,2025-02,2025-02-22T16:45:00-05:00,2025-02-23T04:15:00-05:00,2025-02-27T06:15:00-05:00,2025-03-04T15:15:00-05:00,2025-03-08T16:00:00-05:00,,,ACTIVATED,2025-03-08T16:00:00-05:00,ACTIVATED,ACTIVATED,,5,556,542,True,True,14.0
M027,Café Roble,Bogotá,SMALL,VENTA_DIRECTA,2026-04,2026-04-25T11:30:00-05:00,2026-04-26T13:30:00-05:00,2026-05-05T07:15:00-05:00,,,2026-05-08T07:00:00-05:00,,REJECTED,2026-05-08T07:00:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,129,116,True,False,
M028,Miscelánea Nébula,Bogotá,SMALL,REFERIDOS,2026-08,2026-08-12T16:15:00-05:00,,,,,,2026-08-15T14:00:00-05:00,ABANDONED,2026-08-15T14:00:00-05:00,REGISTERED,ABANDONED,REGISTERED,2,20,17,False,False,
M029,Panadería Granada,Bogotá,SMALL,REFERIDOS,2025-12,2025-12-11T16:30:00-05:00,2025-12-11T22:15:00-05:00,2025-12-20T09:30:00-05:00,2025-12-22T16:45:00-05:00,2025-12-23T18:00:00-05:00,,,ACTIVATED,2025-12-23T18:00:00-05:00,ACTIVATED,ACTIVATED,,5,264,252,True,True,12.0
M030,Librería Nogal,Cartagena,SMALL,VENTA_DIRECTA,2026-03,2026-03-20T15:00:00-05:00,2026-03-20T16:45:00-05:00,2026-03-29T02:45:00-05:00,2026-04-02T15:30:00-05:00,,,2026-04-12T09:30:00-05:00,ABANDONED,2026-04-12T09:30:00-05:00,APPROVED,ABANDONED,APPROVED,5,165,142,True,False,
M031,Panadería Orquídea,Bogotá,SMALL,VENTA_DIRECTA,2025-05,2025-05-22T13:15:00-05:00,2025-05-24T01:45:00-05:00,,,,,2025-06-02T15:30:00-05:00,ABANDONED,2025-06-02T15:30:00-05:00,VALIDATION_STARTED,ABANDONED,VALIDATION_STARTED,3,467,456,True,False,
M032,Miscelánea Nogal,Bucaramanga,SMALL,DIGITAL,2026-02,2026-02-22T10:30:00-05:00,2026-02-24T10:45:00-05:00,2026-02-25T15:00:00-05:00,,,,2026-03-04T17:00:00-05:00,ABANDONED,2026-03-04T17:00:00-05:00,DOCUMENTS_COMPLETED,ABANDONED,DOCUMENTS_COMPLETED,4,191,181,True,False,
M033,Taller Horizonte,Medellín,SMALL,REFERIDOS,2026-07,2026-07-13T11:00:00-05:00,2026-07-14T19:30:00-05:00,2026-07-22T19:45:00-05:00,2026-07-28T09:45:00-05:00,2026-07-31T17:00:00-05:00,,,ACTIVATED,2026-07-31T17:00:00-05:00,ACTIVATED,ACTIVATED,,5,50,32,True,True,18.0
M034,Distribuidora Granada,Bogotá,SMALL,VENTA_DIRECTA,2026-08,2026-08-31T11:00:00-05:00,2026-08-31T19:45:00-05:00,,,,,,VALIDATION_STARTED,2026-08-31T19:45:00-05:00,VALIDATION_STARTED,IN_PROGRESS,,2,1,1,False,False,
M035,Floristería Sabana,Medellín,SMALL,REFERIDOS,2025-03,2025-03-19T10:15:00-05:00,2025-03-20T11:15:00-05:00,2025-03-28T09:45:00-05:00,2025-03-31T10:45:00-05:00,2025-04-02T12:45:00-05:00,,,ACTIVATED,2025-04-02T12:45:00-05:00,ACTIVATED,ACTIVATED,,5,531,517,True,True,14.0
M036,Café Esmeralda,Cali,SMALL,VENTA_DIRECTA,2025-01,2025-01-30T14:30:00-05:00,2025-01-31T18:15:00-05:00,2025-02-06T06:15:00-05:00,2025-02-07T15:15:00-05:00,2025-02-10T08:00:00-05:00,,,ACTIVATED,2025-02-10T08:00:00-05:00,ACTIVATED,ACTIVATED,,5,579,568,True,True,11.0
M037,Heladería Coral,Bogotá,SMALL,ALIADOS,2025-06,2025-06-10T17:00:00-05:00,2025-06-11T05:00:00-05:00,,,,,,VALIDATION_STARTED,2025-06-11T05:00:00-05:00,VALIDATION_STARTED,IN_PROGRESS,,2,448,447,True,False,
M038,Miscelánea Horizonte,Barranquilla,SMALL,DIGITAL,2025-08,2025-08-27T14:00:00-05:00,2025-08-28T04:30:00-05:00,,,,2025-08-31T09:15:00-05:00,,REJECTED,2025-08-31T09:15:00-05:00,VALIDATION_STARTED,REJECTED,VALIDATION_STARTED,3,370,366,True,False,
M039,Distribuidora Sol,Barranquilla,SMALL,REFERIDOS,2025-06,2025-06-06T17:30:00-05:00,2025-06-07T04:45:00-05:00,2025-06-11T22:30:00-05:00,2025-06-15T15:30:00-05:00,2025-06-18T18:00:00-05:00,,,ACTIVATED,2025-06-18T18:00:00-05:00,ACTIVATED,ACTIVATED,,5,452,440,True,True,12.0
M040,Ferretería Nogal,Bogotá,SMALL,ALIADOS,2026-05,2026-05-15T09:45:00-05:00,2026-05-16T06:30:00-05:00,2026-05-26T00:30:00-05:00,2026-05-30T08:45:00-05:00,2026-06-01T04:30:00-05:00,,,ACTIVATED,2026-06-01T04:30:00-05:00,ACTIVATED,ACTIVATED,,5,109,92,True,True,17.0
M041,Café Sabana,Medellín,SMALL,VENTA_DIRECTA,2026-04,2026-04-15T13:00:00-05:00,2026-04-17T06:30:00-05:00,2026-04-25T04:15:00-05:00,2026-05-01T00:30:00-05:00,,,,APPROVED,2026-05-01T00:30:00-05:00,APPROVED,IN_PROGRESS,,4,139,123,True,False,
M042,Boutique Sabana,Bogotá,SMALL,VENTA_DIRECTA,2025-12,2025-12-06T10:30:00-05:00,2025-12-07T06:30:00-05:00,2025-12-14T01:45:00-05:00,,,,2025-12-20T03:45:00-05:00,ABANDONED,2025-12-20T03:45:00-05:00,DOCUMENTS_COMPLETED,ABANDONED,DOCUMENTS_COMPLETED,4,269,255,True,False,
M043,Restaurante Prisma,Cali,MEDIUM,DIGITAL,2026-06,2026-06-20T12:45:00-05:00,2026-06-21T06:30:00-05:00,2026-06-26T15:30:00-05:00,2026-06-29T22:45:00-05:00,2026-07-03T10:15:00-05:00,,,ACTIVATED,2026-07-03T10:15:00-05:00,ACTIVATED,ACTIVATED,,5,73,60,True,True,13.0
M044,Librería Roble,Bogotá,MEDIUM,REFERIDOS,2026-08,2026-08-11T08:30:00-05:00,2026-08-12T15:15:00-05:00,,,,,,VALIDATION_STARTED,2026-08-12T15:15:00-05:00,VALIDATION_STARTED,IN_PROGRESS,,2,21,20,False,False,
M045,Heladería Esmeralda,Bogotá,SMALL,VENTA_DIRECTA,2025-07,2025-07-30T13:45:00-05:00,2025-08-01T10:00:00-05:00,2025-08-09T18:30:00-05:00,2025-08-16T02:30:00-05:00,2025-08-20T19:30:00-05:00,,,ACTIVATED,2025-08-20T19:30:00-05:00,ACTIVATED,ACTIVATED,,5,398,377,True,True,21.0
M046,Librería Andino,Bogotá,SMALL,DIGITAL,2026-05,2026-05-09T09:45:00-05:00,2026-05-10T09:45:00-05:00,,,,2026-05-13T13:00:00-05:00,,REJECTED,2026-05-13T13:00:00-05:00,VALIDATION_STARTED,REJECTED,VALIDATION_STARTED,3,115,111,True,False,
M047,Distribuidora Alameda,Cartagena,SMALL,VENTA_DIRECTA,2026-05,2026-05-18T13:15:00-05:00,2026-05-19T17:00:00-05:00,2026-05-20T19:45:00-05:00,,,2026-05-21T15:30:00-05:00,,REJECTED,2026-05-21T15:30:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,106,103,True,False,
M048,Óptica Nébula,Medellín,SMALL,DIGITAL,2025-05,2025-05-29T17:00:00-05:00,2025-05-31T11:45:00-05:00,,,,,,VALIDATION_STARTED,2025-05-31T11:45:00-05:00,VALIDATION_STARTED,IN_PROGRESS,,2,460,458,True,False,
M049,Café Nogal,Pereira,SMALL,VENTA_DIRECTA,2025-09,2025-09-25T14:30:00-05:00,,,,,,2025-09-30T18:45:00-05:00,ABANDONED,2025-09-30T18:45:00-05:00,REGISTERED,ABANDONED,REGISTERED,2,341,336,True,False,
M050,Librería Cedro,Bogotá,SMALL,VENTA_DIRECTA,2025-07,2025-07-05T12:00:00-05:00,2025-07-06T22:45:00-05:00,,,,2025-07-08T14:15:00-05:00,,REJECTED,2025-07-08T14:15:00-05:00,VALIDATION_STARTED,REJECTED,VALIDATION_STARTED,3,423,420,True,False,
M051,Floristería Andino,Bogotá,SMALL,DIGITAL,2026-04,2026-04-25T11:30:00-05:00,2026-04-26T16:00:00-05:00,2026-05-03T22:00:00-05:00,2026-05-08T01:30:00-05:00,2026-05-12T00:45:00-05:00,,,ACTIVATED,2026-05-12T00:45:00-05:00,ACTIVATED,ACTIVATED,,5,129,112,True,True,17.0
M052,Mercado Prisma,Bogotá,SMALL,VENTA_DIRECTA,2026-06,2026-06-09T09:45:00-05:00,2026-06-11T01:15:00-05:00,2026-06-16T18:00:00-05:00,2026-06-21T13:45:00-05:00,2026-06-24T23:30:00-05:00,,,ACTIVATED,2026-06-24T23:30:00-05:00,ACTIVATED,ACTIVATED,,5,84,69,True,True,15.0
M053,Miscelánea Manzano,Bucaramanga,SMALL,VENTA_DIRECTA,2025-03,2025-03-28T09:15:00-05:00,2025-03-30T07:30:00-05:00,2025-04-04T05:30:00-05:00,,,,,DOCUMENTS_COMPLETED,2025-04-04T05:30:00-05:00,DOCUMENTS_COMPLETED,IN_PROGRESS,,3,522,515,True,False,
M054,Restaurante Manzano,Cali,SMALL,ALIADOS,2025-01,2025-01-19T14:45:00-05:00,2025-01-20T18:00:00-05:00,2025-01-26T03:30:00-05:00,2025-01-31T11:30:00-05:00,2025-02-05T05:45:00-05:00,,,ACTIVATED,2025-02-05T05:45:00-05:00,ACTIVATED,ACTIVATED,,5,590,573,True,True,17.0
M055,Librería Esmeralda,Medellín,MEDIUM,ALIADOS,2026-03,2026-03-12T14:15:00-05:00,2026-03-13T09:00:00-05:00,2026-03-22T22:30:00-05:00,2026-03-28T12:45:00-05:00,,,2026-04-06T23:30:00-05:00,ABANDONED,2026-04-06T23:30:00-05:00,APPROVED,ABANDONED,APPROVED,5,173,148,True,False,
M056,Ferretería Guayacán,Pereira,MEDIUM,DIGITAL,2025-05,2025-05-04T12:00:00-05:00,2025-05-06T07:00:00-05:00,2025-05-08T15:00:00-05:00,,,2025-05-10T11:15:00-05:00,,REJECTED,2025-05-10T11:15:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,485,479,True,False,
M057,Café Boreal,Barranquilla,SMALL,VENTA_DIRECTA,2026-01,2026-01-03T10:30:00-05:00,2026-01-04T03:45:00-05:00,2026-01-05T22:45:00-05:00,2026-01-07T07:30:00-05:00,2026-01-11T13:15:00-05:00,,,ACTIVATED,2026-01-11T13:15:00-05:00,ACTIVATED,ACTIVATED,,5,241,233,True,True,8.0
M058,Librería Nébula,Barranquilla,MEDIUM,REFERIDOS,2025-08,2025-08-18T12:30:00-05:00,2025-08-18T21:30:00-05:00,,,,,2025-08-27T00:00:00-05:00,ABANDONED,2025-08-27T00:00:00-05:00,VALIDATION_STARTED,ABANDONED,VALIDATION_STARTED,3,379,370,True,False,
M059,Café Prisma,Barranquilla,SMALL,ALIADOS,2026-07,2026-07-07T15:00:00-05:00,2026-07-07T19:45:00-05:00,2026-07-10T19:45:00-05:00,,,,2026-07-16T11:30:00-05:00,ABANDONED,2026-07-16T11:30:00-05:00,DOCUMENTS_COMPLETED,ABANDONED,DOCUMENTS_COMPLETED,4,56,47,True,False,
M060,Café Litoral,Bogotá,SMALL,ALIADOS,2025-10,2025-10-10T13:30:00-05:00,2025-10-12T11:45:00-05:00,2025-10-18T20:45:00-05:00,,,,2025-10-21T11:15:00-05:00,ABANDONED,2025-10-21T11:15:00-05:00,DOCUMENTS_COMPLETED,ABANDONED,DOCUMENTS_COMPLETED,4,326,315,True,False,
M061,Heladería Prisma,Cartagena,SMALL,ALIADOS,2025-06,2025-06-18T17:15:00-05:00,2025-06-19T13:45:00-05:00,2025-06-29T13:00:00-05:00,2025-07-06T01:45:00-05:00,2025-07-10T14:00:00-05:00,,,ACTIVATED,2025-07-10T14:00:00-05:00,ACTIVATED,ACTIVATED,,5,440,418,True,True,22.0
M062,Restaurante Cedro,Pereira,SMALL,VENTA_DIRECTA,2026-08,2026-08-03T11:15:00-05:00,2026-08-03T18:15:00-05:00,2026-08-10T05:00:00-05:00,2026-08-17T04:30:00-05:00,2026-08-19T16:30:00-05:00,,,ACTIVATED,2026-08-19T16:30:00-05:00,ACTIVATED,ACTIVATED,,5,29,13,False,True,16.0
M063,Taller Granada,Bogotá,MEDIUM,ALIADOS,2026-02,2026-02-25T09:45:00-05:00,2026-02-27T08:15:00-05:00,2026-03-02T11:45:00-05:00,2026-03-06T13:15:00-05:00,2026-03-09T06:00:00-05:00,,,ACTIVATED,2026-03-09T06:00:00-05:00,ACTIVATED,ACTIVATED,,5,188,176,True,True,12.0
M064,Óptica Aurora,Medellín,SMALL,VENTA_DIRECTA,2025-08,2025-08-02T16:45:00-05:00,2025-08-03T04:45:00-05:00,2025-08-11T20:15:00-05:00,2025-08-13T01:00:00-05:00,2025-08-15T13:30:00-05:00,,,ACTIVATED,2025-08-15T13:30:00-05:00,ACTIVATED,ACTIVATED,,5,395,382,True,True,13.0
M065,Distribuidora Sabana,Medellín,SMALL,ALIADOS,2025-12,2025-12-23T08:45:00-05:00,2025-12-24T15:00:00-05:00,2026-01-02T18:30:00-05:00,,,2026-01-06T07:45:00-05:00,,REJECTED,2026-01-06T07:45:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,252,238,True,False,
M066,Taller Andino,Barranquilla,SMALL,VENTA_DIRECTA,2025-01,2025-01-15T12:45:00-05:00,2025-01-15T18:00:00-05:00,,,,,2025-01-17T22:30:00-05:00,ABANDONED,2025-01-17T22:30:00-05:00,VALIDATION_STARTED,ABANDONED,VALIDATION_STARTED,3,594,592,True,False,
M067,Mercado Alameda,Bogotá,SMALL,VENTA_DIRECTA,2025-05,2025-05-15T13:30:00-05:00,2025-05-15T18:00:00-05:00,2025-05-17T03:45:00-05:00,,,,2025-05-23T07:00:00-05:00,ABANDONED,2025-05-23T07:00:00-05:00,DOCUMENTS_COMPLETED,ABANDONED,DOCUMENTS_COMPLETED,4,474,466,True,False,
M068,Farmacia Roble,Bogotá,SMALL,DIGITAL,2026-06,2026-06-16T15:45:00-05:00,2026-06-16T21:30:00-05:00,,,,2026-06-17T10:30:00-05:00,,REJECTED,2026-06-17T10:30:00-05:00,VALIDATION_STARTED,REJECTED,VALIDATION_STARTED,3,77,76,True,False,
M069,Panadería Prisma,Cali,MEDIUM,ALIADOS,2025-06,2025-06-30T10:15:00-05:00,2025-07-01T16:15:00-05:00,2025-07-10T17:30:00-05:00,2025-07-14T12:30:00-05:00,2025-07-16T00:15:00-05:00,,,ACTIVATED,2025-07-16T00:15:00-05:00,ACTIVATED,ACTIVATED,,5,428,412,True,True,16.0
M070,Papelería Cedro,Medellín,SMALL,DIGITAL,2026-08,2026-08-27T13:15:00-05:00,2026-08-29T14:00:00-05:00,,,,,,VALIDATION_STARTED,2026-08-29T14:00:00-05:00,VALIDATION_STARTED,IN_PROGRESS,,2,5,3,False,False,
M071,Floristería Colibrí,Cartagena,SMALL,VENTA_DIRECTA,2025-04,2025-04-22T17:30:00-05:00,2025-04-23T23:45:00-05:00,2025-04-29T11:00:00-05:00,,,2025-04-29T16:30:00-05:00,,REJECTED,2025-04-29T16:30:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,497,490,True,False,
M072,Mercado Boreal,Cali,SMALL,REFERIDOS,2025-09,2025-09-19T16:00:00-05:00,2025-09-20T01:30:00-05:00,2025-09-25T06:00:00-05:00,2025-09-29T00:30:00-05:00,2025-10-01T02:00:00-05:00,,,ACTIVATED,2025-10-01T02:00:00-05:00,ACTIVATED,ACTIVATED,,5,347,335,True,True,12.0
M073,Papelería Horizonte,Pereira,SMALL,DIGITAL,2025-12,2025-12-27T16:15:00-05:00,2025-12-27T23:15:00-05:00,2025-12-29T17:00:00-05:00,,,2025-12-30T14:45:00-05:00,,REJECTED,2025-12-30T14:45:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,248,245,True,False,
M074,Restaurante Sol,Cali,SMALL,DIGITAL,2025-09,2025-09-12T17:45:00-05:00,2025-09-14T08:00:00-05:00,2025-09-21T04:00:00-05:00,2025-09-24T13:15:00-05:00,2025-09-27T13:30:00-05:00,,,ACTIVATED,2025-09-27T13:30:00-05:00,ACTIVATED,ACTIVATED,,5,354,339,True,True,15.0
M075,Boutique Roble,Barranquilla,SMALL,DIGITAL,2026-01,2026-01-25T10:00:00-05:00,2026-01-26T11:00:00-05:00,2026-02-03T14:30:00-05:00,2026-02-08T13:00:00-05:00,2026-02-09T09:00:00-05:00,,,ACTIVATED,2026-02-09T09:00:00-05:00,ACTIVATED,ACTIVATED,,5,219,204,True,True,15.0
M076,Papelería Guayacán,Barranquilla,SMALL,VENTA_DIRECTA,2025-06,2025-06-25T12:15:00-05:00,2025-06-25T15:00:00-05:00,,,,2025-06-27T02:15:00-05:00,,REJECTED,2025-06-27T02:15:00-05:00,VALIDATION_STARTED,REJECTED,VALIDATION_STARTED,3,433,431,True,False,
M077,Taller Colibrí,Pereira,MEDIUM,REFERIDOS,2026-04,2026-04-10T09:45:00-05:00,2026-04-10T16:15:00-05:00,2026-04-13T05:15:00-05:00,2026-04-17T01:00:00-05:00,2026-04-20T19:45:00-05:00,,,ACTIVATED,2026-04-20T19:45:00-05:00,ACTIVATED,ACTIVATED,,5,144,134,True,True,10.0
M078,Distribuidora Coral,Barranquilla,SMALL,DIGITAL,2025-03,2025-03-25T16:30:00-05:00,2025-03-25T21:15:00-05:00,2025-04-04T05:45:00-05:00,2025-04-08T12:00:00-05:00,2025-04-11T03:45:00-05:00,,,ACTIVATED,2025-04-11T03:45:00-05:00,ACTIVATED,ACTIVATED,,5,525,508,True,True,17.0
M079,Miscelánea Aurora,Bucaramanga,SMALL,DIGITAL,2025-05,2025-05-26T08:00:00-05:00,2025-05-27T16:30:00-05:00,2025-05-30T22:00:00-05:00,,,2025-05-31T11:45:00-05:00,,REJECTED,2025-05-31T11:45:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,463,458,True,False,
M080,Ferretería Marea,Bogotá,SMALL,DIGITAL,2025-10,2025-10-27T15:15:00-05:00,2025-10-29T12:00:00-05:00,2025-11-01T09:15:00-05:00,2025-11-02T19:30:00-05:00,2025-11-05T05:00:00-05:00,,,ACTIVATED,2025-11-05T05:00:00-05:00,ACTIVATED,ACTIVATED,,5,309,300,True,True,9.0
