merchant_id,sales_date,approved_transactions,sales_amount_cop
M001,2025-09-21,1,175352
M001,2025-09-22,0,0
M001,2025-09-23,2,80642
M001,2025-09-24,4,369984
M001,2025-09-25,0,0
M001,2025-09-26,0,0
M001,2025-09-27,0,0
M001,2025-09-28,0,0
M001,2025-09-29,4,692580
M001,2025-09-30,5,413930
M001,2025-10-01,6,476700
M001,2025-10-02,6,641268
M001,2025-10-03,0,0
M001,2025-10-04,4,293412
M001,2025-10-05,0,0
M001,2025-10-06,2,108724
M001,2025-10-07,7,448091
M001,2025-10-08,3,148011
M001,2025-10-09,5,709840
M001,2025-10-10,0,0
M001,2025-10-11,5,756325
M001,2025-10-12,6,974502
M001,2025-10-13,0,0
M001,2025-10-14,3,259218
M001,2025-10-15,5,444345
M001,2025-10-16,6,946560
M001,2025-10-17,6,491244
M001,2025-10-18,0,0
M001,2025-10-19,1,130678
M001,2025-10-20,4,297688
M001,2025-10-21,8,907176
M001,2025-10-22,5,801340
M001,2025-10-23,3,197016
M001,2025-10-24,0,0
M001,2025-10-25,1,93936
M001,2025-10-26,8,416640
M001,2025-10-27,0,0
M001,2025-10-28,3,499947
M001,2025-10-29,1,172785
M001,2025-10-30,0,0
M001,2025-10-31,3,385659
M001,2025-11-01,2,207502
M001,2025-11-02,4,185932
M001,2025-11-03,3,285639
M001,2025-11-04,0,0
M001,2025-11-05,2,330434
M001,2025-11-06,7,306222
M001,2025-11-07,3,248178
M001,2025-11-08,2,190510
M001,2025-11-09,2,352954
M001,2025-11-10,4,205512
M001,2025-11-11,0,0
M001,2025-11-12,0,0
M001,2025-11-13,0,0
M001,2025-11-14,0,0
M001,2025-11-15,6,755238
M001,2025-11-16,5,865205
M001,2025-11-17,0,0
M001,2025-11-18,6,392766
M001,2025-11-19,0,0
M001,2025-11-20,2,155736
M001,2025-11-21,5,676615
M001,2025-11-22,5,455950
M001,2025-11-23,1,171946
M001,2025-11-24,2,105778
M001,2025-11-25,0,0
M001,2025-11-26,0,0
M001,2025-11-27,0,0
M001,2025-11-28,0,0
M001,2025-11-29,5,756865
M001,2025-11-30,5,328440
M001,2025-12-01,6,568260
M001,2025-12-02,0,0
M001,2025-12-03,3,350562
M001,2025-12-04,4,572204
M001,2025-12-05,0,0
M001,2025-12-06,5,734450
M001,2025-12-07,4,253328
M001,2025-12-08,0,0
M001,2025-12-09,6,879306
M001,2025-12-10,0,0
M001,2025-12-11,1,55111
M001,2025-12-12,5,657685
M001,2025-12-13,5,614295
M001,2025-12-14,0,0
M001,2025-12-15,0,0
M001,2025-12-16,4,302192
M001,2025-12-17,0,0
M001,2025-12-18,0,0
M001,2025-12-19,0,0
M001,2025-12-20,0,0
M001,2025-12-21,5,848120
M001,2025-12-22,8,528776
M001,2025-12-23,4,583940
M001,2025-12-24,4,338164
M001,2025-12-25,4,143684
M001,2025-12-26,2,284168
M001,2025-12-27,4,196056
M001,2025-12-28,0,0
M001,2025-12-29,5,443820
M001,2025-12-30,0,0
M001,2025-12-31,6,811584
M001,2026-01-01,0,0
M001,2026-01-02,0,0
M001,2026-01-03,3,351159
M001,2026-01-04,0,0
M001,2026-01-05,1,86352
M001,2026-01-06,0,0
M001,2026-01-07,0,0
M001,2026-01-08,0,0
M001,2026-01-09,0,0
M001,2026-01-10,2,76168
M001,2026-01-11,0,0
M001,2026-01-12,0,0
M001,2026-01-13,6,504912
M001,2026-01-14,2,140002
M001,2026-01-15,0,0
M001,2026-01-16,4,180636
M001,2026-01-17,4,360468
M001,2026-01-18,0,0
M001,2026-01-19,6,265800
M001,2026-01-20,4,463460
M001,2026-01-21,4,585988
M001,2026-01-22,6,751230
M001,2026-01-23,0,0
M001,2026-01-24,0,0
M001,2026-01-25,3,222639
M001,2026-01-26,6,932196
M001,2026-01-27,0,0
M001,2026-01-28,3,248793
M001,2026-01-29,5,219515
M001,2026-01-30,3,368943
M001,2026-01-31,4,565504
M001,2026-02-01,0,0
M001,2026-02-02,0,0
M001,2026-02-03,0,0
M001,2026-02-04,4,584476
M001,2026-02-05,0,0
M001,2026-02-06,0,0
M001,2026-02-07,2,345276
M001,2026-02-08,0,0
M001,2026-02-09,0,0
M001,2026-02-10,0,0
M001,2026-02-11,0,0
M001,2026-02-12,2,247658
M001,2026-02-13,5,565365
M001,2026-02-14,7,703815
M001,2026-02-15,3,179091
M001,2026-02-16,4,311748
M001,2026-02-17,1,36956
M001,2026-02-18,5,439560
M001,2026-02-19,7,462833
M001,2026-02-20,0,0
M001,2026-02-21,0,0
M001,2026-02-22,0,0
M001,2026-02-23,0,0
M001,2026-02-24,3,275760
M001,2026-02-25,0,0
M001,2026-02-26,9,997236
M001,2026-02-27,2,157878
M001,2026-02-28,2,147410
M001,2026-03-01,0,0
M001,2026-03-02,1,84821
M001,2026-03-03,0,0
M001,2026-03-04,0,0
M001,2026-03-05,1,154154
M001,2026-03-06,4,383732
M001,2026-03-07,3,320988
M001,2026-03-08,4,514372
M001,2026-03-09,5,291290
M001,2026-03-10,0,0
M001,2026-03-11,5,187825
M001,2026-03-12,0,0
M001,2026-03-13,4,309424
M001,2026-03-14,2,101534
M001,2026-03-15,0,0
M001,2026-03-16,2,81004
M001,2026-03-17,4,213276
M001,2026-03-18,3,265152
M001,2026-03-19,0,0
M001,2026-03-20,2,322048
M001,2026-03-21,0,0
M001,2026-03-22,0,0
M001,2026-03-23,4,420780
M001,2026-03-24,6,895374
M001,2026-03-25,7,769986
M001,2026-03-26,0,0
M001,2026-03-27,4,581148
M001,2026-03-28,1,170232
M001,2026-03-29,4,687440
M001,2026-03-30,2,219852
M001,2026-03-31,0,0
M001,2026-04-01,2,290696
M001,2026-04-02,5,580020
M001,2026-04-03,3,485307
M001,2026-04-04,2,218996
M001,2026-04-05,0,0
M001,2026-04-06,0,0
M001,2026-04-07,5,225335
M001,2026-04-08,3,496785
M001,2026-04-09,3,500739
M001,2026-04-10,3,391383
M001,2026-04-11,0,0
M001,2026-04-12,0,0
M001,2026-04-13,1,137463
M001,2026-04-14,0,0
M001,2026-04-15,2,238972
M001,2026-04-16,0,0
M001,2026-04-17,2,346402
M001,2026-04-18,4,181680
M001,2026-04-19,5,437290
M001,2026-04-20,0,0
M001,2026-04-21,7,603694
M001,2026-04-22,1,109740
M001,2026-04-23,0,0
M001,2026-04-24,0,0
M001,2026-04-25,8,502136
M001,2026-04-26,2,94186
M001,2026-04-27,0,0
M001,2026-04-28,7,540050
M001,2026-04-29,4,267468
M001,2026-04-30,0,0
M001,2026-05-01,4,269168
M001,2026-05-02,0,0
M001,2026-05-03,5,697115
M001,2026-05-04,0,0
M001,2026-05-05,0,0
M001,2026-05-06,2,332086
M001,2026-05-07,0,0
M001,2026-05-08,5,232855
M001,2026-05-09,0,0
M001,2026-05-10,2,309356
M001,2026-05-11,5,340270
M001,2026-05-12,5,855115
M001,2026-05-13,2,200702
M001,2026-05-14,4,583892
M001,2026-05-15,0,0
M001,2026-05-16,0,0
M001,2026-05-17,0,0
M001,2026-05-18,5,816475
M001,2026-05-19,5,217250
M001,2026-05-20,6,974514
M001,2026-05-21,4,537812
M001,2026-05-22,0,0
M001,2026-05-23,0,0
M001,2026-05-24,5,441350
M001,2026-05-25,3,501366
M001,2026-05-26,1,137174
M001,2026-05-27,6,864360
M001,2026-05-28,3,467079
M001,2026-05-29,4,370128
M001,2026-05-30,4,422336
M001,2026-05-31,3,427884
M001,2026-06-01,5,559605
M001,2026-06-02,1,50662
M001,2026-06-03,0,0
M001,2026-06-04,6,609216
M001,2026-06-05,0,0
M001,2026-06-06,1,70951
M001,2026-06-07,0,0
M001,2026-06-08,4,600164
M001,2026-06-09,0,0
M001,2026-06-10,5,511060
M001,2026-06-11,5,702090
M001,2026-06-12,2,190892
M001,2026-06-13,5,758750
M001,2026-06-14,0,0
M001,2026-06-15,0,0
M001,2026-06-16,0,0
M001,2026-06-17,2,162130
M001,2026-06-18,0,0
M001,2026-06-19,7,676767
M001,2026-06-20,4,526448
M001,2026-06-21,0,0
M001,2026-06-22,5,705155
M001,2026-06-23,0,0
M001,2026-06-24,6,845190
M001,2026-06-25,1,69136
M001,2026-06-26,2,86486
M001,2026-06-27,3,330369
M001,2026-06-28,0,0
M001,2026-06-29,0,0
M001,2026-06-30,0,0
M001,2026-07-01,0,0
M001,2026-07-02,0,0
M001,2026-07-03,2,302624
M001,2026-07-04,4,396376
M001,2026-07-05,2,108820
M001,2026-07-06,2,327978
M001,2026-07-07,52,4656094
M001,2026-07-08,51,4603174
M001,2026-07-09,19,1746031
M001,2026-07-10,5,423280
M001,2026-07-11,0,0
M001,2026-07-12,2,158730
M001,2026-07-13,0,0
M001,2026-07-14,0,0
M001,2026-07-15,32,2910052
M001,2026-07-16,20,1798941
M001,2026-07-17,51,4603174
M001,2026-07-18,0,0
M001,2026-07-19,56,5079365
M001,2026-07-20,16,1481481
M001,2026-07-21,14,1269841
M001,2026-07-22,0,0
M001,2026-07-23,14,1216931
M001,2026-07-24,34,3068783
M001,2026-07-25,9,793650
M001,2026-07-26,0,0
M001,2026-07-27,31,2751322
M001,2026-07-28,11,1005291
M001,2026-07-29,0,0
M001,2026-07-30,0,0
M001,2026-07-31,55,4920634
M001,2026-08-01,7,634920
M001,2026-08-02,46,4126984
M001,2026-08-03,31,2751322
M001,2026-08-04,15,1346161
M001,2026-08-05,0,0
M001,2026-08-06,26,2384615
M001,2026-08-07,0,0
M001,2026-08-08,24,2153846
M001,2026-08-09,23,2076923
M001,2026-08-10,16,1461538
M001,2026-08-11,33,3000000
M001,2026-08-12,21,1923076
M001,2026-08-13,0,0
M001,2026-08-14,30,2692307
M001,2026-08-15,0,0
M001,2026-08-16,15,1384615
M001,2026-08-17,0,0
M001,2026-08-18,15,1384615
M001,2026-08-19,18,1653846
M001,2026-08-20,0,0
M001,2026-08-21,15,1307692
M001,2026-08-22,25,2230769
M001,2026-08-23,9,846153
M001,2026-08-24,1,76923
M001,2026-08-25,0,0
M001,2026-08-26,0,0
M001,2026-08-27,10,884615
M001,2026-08-28,33,3000000
M001,2026-08-29,26,2346153
M001,2026-08-30,15,1346153
M001,2026-08-31,28,2500000
M006,2025-04-10,0,0
M006,2025-04-11,0,0
M006,2025-04-12,5,190705
M006,2025-04-13,0,0
M006,2025-04-14,4,383716
M006,2025-04-15,2,92838
M006,2025-04-16,0,0
M006,2025-04-17,5,458850
M006,2025-04-18,5,185010
M006,2025-04-19,0,0
M006,2025-04-20,5,190625
M006,2025-04-21,3,344388
M006,2025-04-22,0,0
M006,2025-04-23,0,0
M006,2025-04-24,0,0
M006,2025-04-25,7,300335
M006,2025-04-26,6,844290
M006,2025-04-27,6,464352
M006,2025-04-28,3,480582
M006,2025-04-29,0,0
M006,2025-04-30,0,0
M006,2025-05-01,0,0
M006,2025-05-02,0,0
M006,2025-05-03,0,0
M006,2025-05-04,0,0
M006,2025-05-05,5,742935
M006,2025-05-06,3,380865
M006,2025-05-07,7,1139299
M006,2025-05-08,0,0
M006,2025-05-09,0,0
M006,2025-05-10,1,93196
M006,2025-05-11,0,0
M006,2025-05-12,0,0
M006,2025-05-13,4,577272
M006,2025-05-14,5,522290
M006,2025-05-15,1,51403
M006,2025-05-16,0,0
M006,2025-05-17,0,0
M006,2025-05-18,0,0
M006,2025-05-19,3,123048
M006,2025-05-20,0,0
M006,2025-05-21,2,83058
M006,2025-05-22,7,276290
M006,2025-05-23,0,0
M006,2025-05-24,0,0
M006,2025-05-25,1,52691
M006,2025-05-26,4,463908
M006,2025-05-27,0,0
M006,2025-05-28,2,308244
M006,2025-05-29,0,0
M006,2025-05-30,0,0
M006,2025-05-31,0,0
M006,2025-06-01,4,522452
M006,2025-06-02,0,0
M006,2025-06-03,3,215859
M006,2025-06-04,4,231672
M006,2025-06-05,4,328616
M006,2025-06-06,3,478818
M006,2025-06-07,5,520685
M006,2025-06-08,3,158889
M006,2025-06-09,0,0
M006,2025-06-10,7,1188733
M006,2025-06-11,7,1218896
M006,2025-06-12,6,903474
M006,2025-06-13,3,440661
M006,2025-06-14,5,652550
M006,2025-06-15,0,0
M006,2025-06-16,7,984494
M006,2025-06-17,0,0
M006,2025-06-18,0,0
M006,2025-06-19,0,0
M006,2025-06-20,1,69329
M006,2025-06-21,0,0
M006,2025-06-22,4,153948
M006,2025-06-23,0,0
M006,2025-06-24,3,404364
M006,2025-06-25,1,52713
M006,2025-06-26,6,911040
M006,2025-06-27,2,238740
M006,2025-06-28,3,475119
M006,2025-06-29,0,0
M006,2025-06-30,0,0
M006,2025-07-01,4,678492
M006,2025-07-02,8,1002880
M006,2025-07-03,0,0
M006,2025-07-04,0,0
M006,2025-07-05,3,232734
M006,2025-07-06,0,0
M006,2025-07-07,3,405861
M006,2025-07-08,0,0
M006,2025-07-09,3,448794
M006,2025-07-10,0,0
M006,2025-07-11,6,367098
M006,2025-07-12,2,170050
M006,2025-07-13,0,0
M006,2025-07-14,5,881145
M006,2025-07-15,3,412770
M006,2025-07-16,0,0
M006,2025-07-17,0,0
M006,2025-07-18,5,404785
M006,2025-07-19,5,305755
M006,2025-07-20,0,0
M006,2025-07-21,0,0
M006,2025-07-22,0,0
M006,2025-07-23,7,572019
M006,2025-07-24,4,712728
M006,2025-07-25,1,70235
M006,2025-07-26,0,0
M006,2025-07-27,0,0
M006,2025-07-28,1,173011
M006,2025-07-29,4,193344
M006,2025-07-30,7,308861
M006,2025-07-31,3,255936
M006,2025-08-01,5,686435
M006,2025-08-02,5,409610
M006,2025-08-03,6,755460
M006,2025-08-04,5,606865
M006,2025-08-05,0,0
M006,2025-08-06,0,0
M006,2025-08-07,6,1070580
M006,2025-08-08,7,1059856
M006,2025-08-09,0,0
M006,2025-08-10,0,0
M006,2025-08-11,5,879695
M006,2025-08-12,0,0
M006,2025-08-13,6,466248
M006,2025-08-14,0,0
M006,2025-08-15,5,732950
M006,2025-08-16,0,0
M006,2025-08-17,0,0
M006,2025-08-18,4,573540
M006,2025-08-19,0,0
M006,2025-08-20,3,235095
M006,2025-08-21,3,179994
M006,2025-08-22,0,0
M006,2025-08-23,3,107820
M006,2025-08-24,3,358251
M006,2025-08-25,4,374400
M006,2025-08-26,4,600288
M006,2025-08-27,3,302568
M006,2025-08-28,4,421852
M006,2025-08-29,3,463134
M006,2025-08-30,0,0
M006,2025-08-31,2,307308
M006,2025-09-01,0,0
M006,2025-09-02,0,0
M006,2025-09-03,3,452001
M006,2025-09-04,3,539031
M006,2025-09-05,4,197204
M006,2025-09-06,3,466779
M006,2025-09-07,2,128630
M006,2025-09-08,8,573520
M006,2025-09-09,0,0
M006,2025-09-10,3,360891
M006,2025-09-11,0,0
M006,2025-09-12,2,202890
M006,2025-09-13,0,0
M006,2025-09-14,4,237928
M006,2025-09-15,4,706420
M006,2025-09-16,2,192208
M006,2025-09-17,4,226240
M006,2025-09-18,3,388839
M006,2025-09-19,3,162729
M006,2025-09-20,2,204328
M006,2025-09-21,4,574492
M006,2025-09-22,0,0
M006,2025-09-23,3,155310
M006,2025-09-24,5,739980
M006,2025-09-25,5,768280
M006,2025-09-26,0,0
M006,2025-09-27,0,0
M006,2025-09-28,6,255048
M006,2025-09-29,0,0
M006,2025-09-30,0,0
M006,2025-10-01,0,0
M006,2025-10-02,0,0
M006,2025-10-03,0,0
M006,2025-10-04,0,0
M006,2025-10-05,0,0
M006,2025-10-06,4,473568
M006,2025-10-07,4,332612
M006,2025-10-08,0,0
M006,2025-10-09,3,397755
M006,2025-10-10,4,713248
M006,2025-10-11,0,0
M006,2025-10-12,0,0
M006,2025-10-13,4,511240
M006,2025-10-14,6,546042
M006,2025-10-15,0,0
M006,2025-10-16,3,222579
M006,2025-10-17,1,122091
M006,2025-10-18,7,827302
M006,2025-10-19,0,0
M006,2025-10-20,3,416427
M006,2025-10-21,5,193345
M006,2025-10-22,3,399567
M006,2025-10-23,0,0
M006,2025-10-24,2,219190
M006,2025-10-25,0,0
M006,2025-10-26,0,0
M006,2025-10-27,0,0
M006,2025-10-28,0,0
M006,2025-10-29,0,0
M006,2025-10-30,2,223746
M006,2025-10-31,2,145402
M006,2025-11-01,0,0
M006,2025-11-02,1,125734
M006,2025-11-03,4,442856
M006,2025-11-04,7,295988
M006,2025-11-05,1,117521
M006,2025-11-06,0,0
M006,2025-11-07,5,238220
M006,2025-11-08,7,548030
M006,2025-11-09,0,0
M006,2025-11-10,1,71545
M006,2025-11-11,0,0
M006,2025-11-12,0,0
M006,2025-11-13,6,317718
M006,2025-11-14,3,445716
M006,2025-11-15,5,595000
M006,2025-11-16,3,394104
M006,2025-11-17,0,0
M006,2025-11-18,1,131507
M006,2025-11-19,0,0
M006,2025-11-20,3,379512
M006,2025-11-21,0,0
M006,2025-11-22,7,580181
M006,2025-11-23,4,352952
M006,2025-11-24,0,0
M006,2025-11-25,6,301116
M006,2025-11-26,2,84388
M006,2025-11-27,0,0
M006,2025-11-28,0,0
M006,2025-11-29,2,189790
M006,2025-11-30,0,0
M006,2025-12-01,5,875325
M006,2025-12-02,4,390044
M006,2025-12-03,6,905802
M006,2025-12-04,4,369916
M006,2025-12-05,0,0
M006,2025-12-06,0,0
M006,2025-12-07,6,686028
M006,2025-12-08,6,983364
M006,2025-12-09,5,348055
M006,2025-12-10,0,0
M006,2025-12-11,2,117406
M006,2025-12-12,5,598875
M006,2025-12-13,6,286362
M006,2025-12-14,0,0
M006,2025-12-15,0,0
M006,2025-12-16,0,0
M006,2025-12-17,0,0
M006,2025-12-18,2,85684
M006,2025-12-19,2,313260
M006,2025-12-20,3,437619
M006,2025-12-21,0,0
M006,2025-12-22,5,365440
M006,2025-12-23,2,308684
M006,2025-12-24,5,549925
M006,2025-12-25,3,284238
M006,2025-12-26,0,0
M006,2025-12-27,2,322188
M006,2025-12-28,6,434136
M006,2025-12-29,2,84948
M006,2025-12-30,2,197336
M006,2025-12-31,6,316752
M006,2026-01-01,3,110226
M006,2026-01-02,4,597572
M006,2026-01-03,4,693248
M006,2026-01-04,3,185397
M006,2026-01-05,0,0
M006,2026-01-06,5,750145
M006,2026-01-07,2,143718
M006,2026-01-08,11,1254671
M006,2026-01-09,4,211296
M006,2026-01-10,1,59548
M006,2026-01-11,5,333925
M006,2026-01-12,7,1056286
M006,2026-01-13,0,0
M006,2026-01-14,0,0
M006,2026-01-15,0,0
M006,2026-01-16,2,98824
M006,2026-01-17,2,310092
M006,2026-01-18,4,633520
M006,2026-01-19,0,0
M006,2026-01-20,0,0
M006,2026-01-21,6,981612
M006,2026-01-22,0,0
M006,2026-01-23,0,0
M006,2026-01-24,1,154204
M006,2026-01-25,10,600060
M006,2026-01-26,6,489300
M006,2026-01-27,0,0
M006,2026-01-28,9,520902
M006,2026-01-29,1,122810
M006,2026-01-30,0,0
M006,2026-01-31,5,421780
M006,2026-02-01,2,190858
M006,2026-02-02,2,263408
M006,2026-02-03,2,76252
M006,2026-02-04,0,0
M006,2026-02-05,0,0
M006,2026-02-06,0,0
M006,2026-02-07,5,543755
M006,2026-02-08,3,497676
M006,2026-02-09,4,671904
M006,2026-02-10,2,311866
M006,2026-02-11,0,0
M006,2026-02-12,3,288897
M006,2026-02-13,0,0
M006,2026-02-14,4,452124
M006,2026-02-15,3,457023
M006,2026-02-16,1,49783
M006,2026-02-17,0,0
M006,2026-02-18,0,0
M006,2026-02-19,3,461808
M006,2026-02-20,0,0
M006,2026-02-21,0,0
M006,2026-02-22,4,581608
M006,2026-02-23,0,0
M006,2026-02-24,2,306994
M006,2026-02-25,4,250464
M006,2026-02-26,3,403170
M006,2026-02-27,0,0
M006,2026-02-28,0,0
M006,2026-03-01,0,0
M006,2026-03-02,4,500904
M006,2026-03-03,6,312408
M006,2026-03-04,0,0
M006,2026-03-05,6,717804
M006,2026-03-06,0,0
M006,2026-03-07,0,0
M006,2026-03-08,2,173650
M006,2026-03-09,0,0
M006,2026-03-10,0,0
M006,2026-03-11,1,45132
M006,2026-03-12,0,0
M006,2026-03-13,0,0
M006,2026-03-14,0,0
M006,2026-03-15,2,348788
M006,2026-03-16,0,0
M006,2026-03-17,1,39482
M006,2026-03-18,0,0
M006,2026-03-19,0,0
M006,2026-03-20,4,354876
M006,2026-03-21,6,364452
M006,2026-03-22,3,412410
M006,2026-03-23,0,0
M006,2026-03-24,9,1008846
M006,2026-03-25,6,986190
M006,2026-03-26,7,877268
M006,2026-03-27,6,799488
M006,2026-03-28,5,425765
